,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Washington,Wisconsin,Wyoming,Puerto Rico,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan
Other Southern Europe,40,51,33,0,0,38,8,309,0,"1,280",73,0,60,0,13,109,0,24,39,16,151,22,18,37,0,83,0,0,,11,14,119,0,"1,066",27,30,5,7,369,83,5,16,46,18,4,8,92,0,60,96,52,"1,284"
Serbia,458,54,377,11,78,"1,065",110,"1,362",71,"4,963",338,52,"1,592",99,150,772,43,180,0,94,"1,299",118,31,610,0,304,974,2,,64,130,"1,106",59,"4,362",323,716,101,392,"4,123",283,100,130,"5,949",490,175,36,118,57,39,541,"1,342","1,280"
Czechoslovakia (includes Czech Republic and Slovakia),728,162,449,149,200,886,235,"4,631",137,"8,413",807,38,"1,651",137,970,"2,668",11,292,35,861,"1,970",422,235,"1,459",60,"1,671",782,50,,227,100,"1,110",143,"9,891","2,271","1,328",173,312,"8,278","1,731",146,317,"5,248",430,169,280,224,96,172,"1,503","1,452","1,222"
Hungary,406,33,434,101,85,"1,218",231,"4,774",183,"10,088","1,408",5,"3,291",179,532,"2,331",86,473,56,512,"2,723",157,171,"1,503",94,"1,066",900,25,,231,25,"1,310",96,"11,219",997,"1,623",95,187,"8,926",874,43,126,"2,259",709,89,85,107,117,226,"1,094","1,498","1,167"
Trinidad and Tobago,"1,044",159,248,0,86,562,140,"15,129",76,"94,651","2,867",43,"1,310",175,232,"6,246",457,"1,099",34,795,"10,911",139,51,"4,868",188,839,190,5,,545,55,"1,338",236,"5,965",472,"2,368",917,"1,131","43,921","7,244",7,237,"1,298",558,79,226,202,807,98,"13,024","6,067","1,146"
Indonesia,667,127,496,92,165,"1,447",991,"2,081",130,"5,322",930,18,"1,549",521,"1,520","3,509",173,141,37,464,"7,501",561,58,"2,124",121,"4,215",528,134,,153,16,"1,505",96,"40,064","1,655",494,204,198,"2,790","2,207",174,450,"1,586","1,075",283,404,332,857,128,"2,167","1,896","1,140"
Ireland,851,185,481,145,243,763,578,"7,389",193,"28,466","1,711",30,"1,573",214,"1,148","5,027",996,970,15,631,"3,310",266,225,"2,063",82,"2,309",504,91,,316,88,"1,600",189,"17,298","1,182","3,314",391,743,"8,328","1,876",128,306,"7,311",960,103,113,595,383,286,"1,650","15,236","1,095"
Cambodia,"4,716",195,840,24,9,"1,188",284,952,138,"2,987","2,559",30,"3,550",589,"2,886","7,689","2,902","1,158",62,"1,544","9,264","1,159",76,"4,798",0,"12,154",516,24,,571,158,"1,612",351,"54,311","1,711","1,671",263,136,"3,471","3,070",70,336,"2,593",367,472,966,982,316,"1,040","1,795","14,698","1,083"
Somalia,"33,463",5,"1,719",0,"2,052",202,258,52,32,"2,661",661,"1,035","10,497",6,"2,022",577,22,74,523,"2,583","4,796","1,574",230,"2,585",30,"6,926","1,286",46,,0,317,"1,852",0,"2,901","1,622",111,0,17,376,"2,037",36,17,"1,003",644,897,"1,183","1,872",78,"1,318",533,"3,193","1,077"
Austria,465,64,518,133,53,606,273,"2,270",229,"6,497",884,21,"1,439",230,453,"1,394",49,459,10,349,"1,463",340,174,"1,364",104,"1,048",941,12,,274,96,"1,022",95,"7,907","1,160",877,125,218,"3,524",691,151,218,"2,596",324,269,83,101,173,154,901,"1,107","1,037"
Sierra Leone,"1,285",75,244,0,0,16,18,"2,439",22,"2,789","1,420",77,"1,656",0,33,"2,756",176,156,10,284,"2,706",183,21,"5,939",19,146,108,0,,47,60,276,61,"2,254",116,181,156,260,324,"1,327",0,4,116,78,252,27,30,42,4,"10,046",987,"1,026"
Croatia,265,3,455,10,51,756,120,"2,555",13,"6,705",893,63,"2,838",55,320,"1,018",19,117,362,218,"1,362",464,88,826,19,401,832,9,,33,27,527,24,"4,945",397,777,77,81,"2,795",742,209,36,"3,372",944,360,164,218,364,26,324,648,897
Lithuania,138,21,6,13,168,489,56,"1,354",63,"3,630",200,18,"1,044",12,250,891,136,157,18,204,600,49,47,552,9,545,387,0,,56,17,250,28,"3,707",665,689,74,182,"2,201",398,7,68,"11,228",416,80,10,78,63,48,583,"1,488",823
Latvia,699,57,165,25,206,114,60,"1,268",134,"3,585",457,72,545,20,311,853,108,154,14,202,398,41,19,739,0,920,496,0,,58,76,248,4,"3,134",581,461,79,63,"1,137",304,31,125,"1,516",342,170,143,194,32,50,761,908,820
Belgium,311,168,331,58,32,368,46,"1,671",140,"5,288",990,9,529,96,470,978,77,428,42,274,"2,388",288,40,995,127,726,371,66,,107,21,662,103,"6,345",513,557,77,304,"3,482","1,049",77,50,"1,117",249,37,111,156,295,99,959,"1,290",775
Costa Rica,606,58,295,41,104,859,155,"14,679",161,"6,914","3,323",6,625,285,546,"2,275",40,"1,727",9,968,"4,890",459,0,"2,164",31,673,686,0,,307,97,"1,325",267,"12,423",695,"1,468",98,241,"16,696","2,314",216,150,"1,353",488,145,304,300,526,32,"1,887","1,854",743
Sweden,679,63,262,141,25,347,184,"1,337",88,"4,740","1,631",51,546,126,819,"1,048",203,253,26,598,"2,795",478,155,"1,220",52,"2,412",573,16,,98,77,967,22,"12,276","1,015","1,267",62,373,"4,668",925,120,274,"1,057",256,132,137,346,154,225,563,"1,769",724
Panama,547,256,742,76,199,"1,301",181,"3,554",437,"18,970","3,915",52,"1,005",369,423,"2,208",266,"1,155",32,"1,019","9,574",224,13,"4,389",54,981,436,6,,"1,412",52,"1,107",444,"9,626","1,032",646,388,349,"21,188","5,769",43,198,"1,542",564,221,261,616,"1,025",31,"3,034","1,701",720
Cameroon,"2,138",39,350,5,114,227,71,"1,181",257,"1,974",765,152,"2,161",532,94,"1,394",22,317,16,154,"8,232",91,123,"2,369",78,232,200,0,,207,91,302,143,"2,993",590,151,615,850,814,"2,916",76,0,"1,563",669,152,55,298,227,20,"17,273","2,091",660
Belarus,"1,986",32,743,160,234,158,66,"3,691",40,"15,356",943,6,"1,211",125,739,"3,113",309,470,31,218,"1,269",121,42,"1,024",37,"3,902",528,49,,104,156,314,63,"8,566","1,194",668,38,94,"3,126",789,89,49,"5,421",273,250,118,200,57,33,"1,230","2,945",650
Bahamas,193,133,95,0,11,214,56,410,27,"1,521",871,9,399,342,6,571,22,271,26,673,"1,036",25,11,515,47,144,79,2,,298,0,185,158,568,206,165,130,118,"18,886","1,877",0,60,492,94,35,30,65,208,3,518,433,605
Sudan,"1,980",228,571,7,"1,620",455,453,997,55,"2,326","1,734",413,"1,148",277,99,798,0,148,401,"1,555","3,747",764,12,"4,372",0,983,144,2,,279,267,"1,365",0,"3,339","1,342",512,0,251,"1,120","1,549",24,25,"1,083",434,"2,147",254,103,236,379,"1,773",837,601
Denmark,394,91,180,153,65,238,100,"1,123",84,"2,002",917,66,611,137,611,709,75,170,25,205,"1,376",367,45,873,34,"1,520",303,19,,59,61,843,83,"6,967",614,543,50,195,"2,366",974,80,140,872,213,120,94,116,31,197,535,"1,008",587
Morocco,882,197,325,4,67,712,176,"5,022",141,"9,330","2,838",0,"2,277",444,511,"4,471",274,245,27,333,"4,056",116,14,"6,827",38,"1,125",615,29,,227,0,936,40,"6,448","1,137","1,553",121,277,"9,361","1,239",37,47,"2,863",381,244,216,550,240,273,"2,069","7,197",563
Chile,944,64,299,67,210,"1,494",142,"5,741",316,"11,300","2,179",0,719,224,855,"2,471",349,635,57,804,"4,654","2,656",61,"2,702",151,"1,944",698,189,,471,99,"1,594",317,"15,994","1,465","2,093",193,649,"21,715","1,626",297,178,"1,671",585,221,329,243,291,106,"3,027","2,807",563
Ecuador,"5,919",217,566,39,145,"1,156",500,"77,710",452,"176,275","5,812",52,"1,308",289,694,"8,463",617,"1,248",81,683,"8,508","2,241",48,"4,583",72,"1,763",859,32,,494,126,"1,644",426,"21,751","1,020","19,692",424,354,"52,003","3,265",331,198,"17,357",737,622,829,285,"1,044",113,"4,580","8,317",553
Singapore,194,39,125,0,26,383,86,"1,169",89,"3,292",409,9,385,116,333,721,90,70,9,140,"2,564",136,2,810,56,"1,401",235,2,,130,20,"1,330",151,"10,756",493,537,17,317,756,716,556,523,"1,071",217,47,86,67,267,6,650,"1,304",519
Other Northern Europe,480,27,87,82,45,148,112,486,51,"1,715",447,22,361,158,454,444,132,168,1,113,"1,600",170,23,879,29,912,435,3,,41,63,431,42,"4,829",375,427,70,160,"3,652",822,13,110,735,156,71,12,65,144,180,429,"1,464",517
Guyana,"3,711",152,221,24,21,265,143,"23,130",74,"163,223","2,685",13,"1,295",80,59,"4,669",192,503,5,515,"4,102",67,271,"2,658",70,459,114,3,,335,45,835,89,"4,577",332,"4,435","1,100",807,"34,532","7,881",11,205,821,201,153,106,259,416,34,"8,274","2,406",516
Switzerland,461,20,224,135,53,304,277,"1,453",142,"4,709",612,7,571,55,775,899,236,289,122,308,"1,752",334,199,855,53,974,415,68,,45,138,847,22,"9,091","1,034",784,88,215,"3,444",565,264,340,839,250,97,75,109,238,82,586,"1,503",514
Eritrea,"1,703",0,570,0,182,945,2,319,0,"1,274","1,313",84,"1,600",230,625,661,67,96,618,384,"5,018",0,0,"2,332",0,"3,742",340,0,,55,10,"1,407",0,"6,522","1,273",106,68,555,756,"2,401",51,0,776,474,432,366,34,104,96,"2,604",738,510
Kazakhstan,672,23,316,77,18,149,95,838,57,"4,433",813,2,745,137,895,"1,255",95,290,4,110,"1,518",67,56,"1,040",0,"2,182",181,0,,139,76,335,11,"4,730",480,216,38,146,"2,173",467,27,51,"1,161",355,62,140,161,59,155,770,"1,009",496
Other Australian and New Zealand Subregion,323,85,197,93,74,563,175,620,206,"2,112",664,46,390,115,715,622,78,136,29,366,"1,762","1,120",50,472,139,"1,705",230,52,,187,87,804,101,"7,930","1,362",261,45,132,"1,745",385,144,934,754,270,124,144,149,172,91,381,880,496
Afghanistan,332,52,739,0,539,684,0,"1,372",293,"7,503",624,60,615,0,665,"1,468",18,105,37,380,"6,532",546,2,"15,791",48,"1,750",326,2,,79,9,"1,683",11,"35,789","1,529","1,051",92,25,"1,254","2,132",277,66,"1,044",304,130,231,427,16,213,"1,630",616,462
Bolivia,206,7,293,2,44,488,81,"2,711",305,"4,077",420,18,330,236,425,645,"2,073",733,39,366,"4,880",826,35,"26,870",54,481,324,8,,90,44,595,707,"9,322",562,295,8,384,"10,651",485,33,48,"1,650",160,73,115,190,265,20,"5,546","1,149",429
"Oceania, n.e.c.",704,91,"1,583",85,64,"1,294",66,448,58,"1,042",667,12,759,"1,286","4,199",360,29,555,3,353,"4,198","6,826",10,284,33,"7,653",522,4,,112,"1,329","2,380","5,098","17,966",944,115,34,58,"1,641","1,274",413,"22,883",398,310,695,571,659,113,27,457,341,388
Moldova,"1,662",15,266,4,35,378,12,"1,881",29,"6,267","1,040",46,443,150,"1,078","1,231",85,294,55,186,725,189,174,"1,026",0,"5,093",86,86,,252,164,211,110,"8,891",573,244,41,65,"2,143","1,351",13,72,"3,082",282,23,130,116,168,10,834,"2,514",384
Uzbekistan,238,0,320,0,140,0,128,"1,990",123,"28,123",681,0,"2,198",16,792,"3,484",12,400,18,466,"1,522",21,5,887,0,"1,714",120,17,,123,44,625,25,"5,989","1,189",300,0,94,"1,637",830,94,103,"1,118",131,33,50,405,23,0,"1,052","1,265",369
Other South America,671,12,278,60,28,252,7,"2,727",116,"9,337",695,4,403,67,62,789,75,201,2,119,"1,814",159,71,"1,033",50,408,288,0,,234,228,242,121,"3,659",422,621,114,305,"5,814",912,131,43,"1,178",111,72,408,72,469,27,"1,706",575,364
Other Caribbean,332,39,299,33,108,95,17,"4,371",129,"28,265","1,080",18,527,94,84,"1,937",279,346,26,217,"3,782",47,0,"1,528",139,345,107,21,,382,116,456,29,"2,420",189,"2,409",282,274,"17,347","4,882",0,108,410,298,188,175,229,587,19,"2,206","2,513",352
Armenia,47,0,220,18,23,"1,652",17,908,33,"3,146",172,0,372,32,320,385,279,12,2,63,915,363,43,346,0,761,77,0,,16,0,151,0,"72,990",319,95,0,216,808,101,3,22,524,70,29,28,11,0,0,388,"1,720",313
Nicaragua,778,241,646,174,273,"3,661",74,"4,961",314,"10,505","3,850",40,889,173,587,"1,989",139,"1,162",64,788,"17,654",523,34,"4,684",78,"2,133","1,528",15,,705,162,"1,488",642,"63,947","1,179","1,393",118,557,"105,077","2,958",49,254,"1,532","1,403",424,418,306,"4,224",88,"6,283",990,310
Norway,593,10,89,125,54,189,140,861,82,"2,053",308,153,292,183,671,674,78,149,40,108,"1,861",317,45,535,8,"1,964",375,30,,58,190,720,72,"4,174",574,486,55,73,"2,377",267,189,145,693,200,213,79,110,102,84,365,422,271
Portugal,222,209,141,13,34,575,"1,030","30,151",54,"10,767",708,3,294,82,251,"2,818","15,478",775,0,357,"1,580",142,29,"1,663",39,319,73,35,,155,13,642,21,"24,851",306,"9,572",99,189,"10,329",723,209,143,507,210,77,145,50,199,335,"1,711","54,221",239
Uruguay,144,1,246,0,29,171,326,"8,762",29,"5,651","1,089",12,167,70,140,748,34,361,0,114,"1,825",718,24,"1,412",11,695,399,0,,124,44,367,11,"3,251",93,"1,171",48,212,"12,349","2,170",0,20,637,125,9,25,14,135,10,"1,031","2,336",211
Belize,240,110,74,72,183,895,15,"1,223",62,"7,832",465,42,83,192,129,511,56,226,34,480,"5,042",87,17,667,45,401,104,56,,52,65,356,90,"16,690",296,371,28,190,"4,806",778,15,0,"4,292",216,72,107,25,754,0,624,190,197
Grenada,117,38,16,0,9,11,0,"1,161",0,"22,887",369,0,69,112,0,581,0,107,0,92,"1,337",26,2,364,34,15,39,0,,135,0,85,0,442,25,113,51,149,"2,989",878,0,195,77,183,90,46,80,119,11,"1,458",541,170
Other Southern Africa,32,0,89,14,0,0,13,117,0,423,282,5,39,34,78,163,6,37,6,52,724,114,5,64,0,62,41,0,,15,0,98,46,339,106,184,25,41,280,199,2,6,164,33,41,16,48,27,17,325,133,160
Fiji,33,6,46,42,9,477,0,139,32,215,114,0,56,17,"1,637",522,98,71,0,7,315,139,0,250,0,"4,001",46,0,,56,204,292,13,"35,094",74,33,0,20,266,447,47,397,91,45,0,26,0,33,0,97,155,142
Other Eastern Asia,26,72,322,0,3,74,67,108,0,200,15,0,66,1,59,226,9,12,8,50,46,218,5,"2,197",0,"1,101",227,15,,0,61,36,42,"4,441","1,033",23,0,46,359,58,48,140,"2,851",136,15,42,60,71,0,259,144,107
West Indies,8,133,14,0,45,121,2,"1,070",47,"11,848",398,3,204,19,50,646,4,199,0,6,"1,050",210,0,599,0,56,36,71,,138,53,62,44,752,140,906,0,76,"3,715","1,217",0,14,357,56,23,7,35,183,0,801,"1,044",95
Barbados,83,7,31,0,25,91,61,"3,167",0,"25,556",866,5,267,5,87,"2,064",44,383,0,72,"1,603",0,5,912,6,150,31,0,,109,13,139,0,"1,031",198,962,156,111,"6,469","2,362",0,23,513,285,42,28,68,108,48,"1,503","3,830",91
Other Northern America,36,6,131,0,15,56,72,343,19,561,144,7,187,65,0,325,90,149,0,121,319,7,3,367,10,128,25,0,,209,12,185,46,615,23,217,170,0,"1,135",661,32,18,64,161,29,11,77,10,58,274,539,79
St. Vincent and the Grenadines,54,35,29,18,12,0,12,970,15,"14,119",159,0,104,22,17,781,0,72,0,67,345,20,0,251,13,26,21,0,,150,3,61,22,395,41,219,25,19,"2,599",694,0,0,42,51,0,0,37,13,11,685,373,52
Dominica,99,0,86,0,0,111,49,"2,454",0,"10,035",153,0,96,64,0,"1,137",559,41,5,138,"1,669",18,12,395,36,67,21,0,,70,114,67,16,372,43,"1,334",187,70,"7,978",914,0,0,136,65,0,0,28,469,0,596,"2,674",50
Other Western Europe,0,0,0,0,6,80,0,231,32,262,70,2,49,0,26,22,6,34,0,32,124,0,13,56,0,24,4,7,,0,0,31,12,360,26,61,0,0,313,24,0,0,123,37,52,12,0,0,13,36,72,39
Other Central America,45,51,65,0,16,64,0,123,78,912,343,0,60,0,175,240,52,1,1,179,817,16,0,61,0,62,0,0,,50,0,73,37,"1,727",99,61,0,137,601,61,11,8,581,30,32,42,74,303,0,89,"1,156",27
Cabo Verde,33,0,0,0,0,0,31,400,0,260,138,0,75,5,0,52,"8,235",0,0,0,32,24,17,76,0,19,0,0,,15,0,142,0,475,0,869,0,61,"1,150",229,0,15,28,0,0,0,0,0,0,37,"28,924",9
Other South Eastern Asia,7,3,39,0,0,0,0,55,0,221,0,0,0,0,23,64,0,0,0,0,99,9,0,39,0,94,3,0,,0,19,19,0,263,0,2,5,0,274,49,15,13,51,0,0,35,0,0,0,37,26,9
Azores Islands,27,24,0,0,0,48,171,171,0,32,95,1,0,0,17,139,"2,731",49,0,151,71,10,0,34,0,34,2,16,,0,0,90,9,"8,088",11,99,0,0,915,38,32,0,5,35,0,51,8,129,16,7,"14,045",7
